IP|PUERTO|BD|USUARIO|USOS
10.50.71.69|35686|buro|sysburotienda|1
10.50.70.104|57202|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|35694|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|35700|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|35712|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|35728|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|1548|buro|sysburotienda|1
10.50.71.69|35734|buro|sysburotienda|1
10.50.71.69|35742|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|32540|buro|sysburotienda|1
10.50.71.69|32548|buro|sysburotienda|1
10.50.71.69|32556|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|32568|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|32574|buro|sysburotienda|1
10.50.71.69|32582|infocrediticiacte|sysinfocrediticia|1
10.50.70.14|41844|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|22042|buro|sysburotienda|1
10.50.71.69|27264|buro|sysburotienda|1
10.50.71.69|27280|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|27282|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|54002|buro|sysburotienda|1
10.50.71.69|54014|buro|sysburotienda|1
10.50.71.69|54022|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|54032|buro|sysburotienda|1
10.50.71.69|49956|buro|sysburotienda|1
10.50.71.69|49980|buro|sysburotienda|1
10.50.71.69|49984|buro|sysburotienda|1
10.50.71.69|49992|buro|sysburotienda|1
10.50.71.69|50004|buro|sysburotienda|1
10.50.71.69|50014|buro|sysburotienda|1
10.50.71.69|50024|buro|sysburotienda|1
10.50.71.69|50028|buro|sysburotienda|2
10.50.71.69|50030|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|50054|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|50056|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|31409|buro|sysburotienda|1
10.30.241.167|44184|buro|sysburotienda|1
10.50.71.69|50066|buro|sysburotienda|1
10.50.71.69|50084|buro|sysburotienda|1
10.50.71.69|50090|buro|sysburotienda|1
10.50.71.69|50094|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|50116|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|51012|buro|sysburotienda|1
10.50.71.69|51044|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|51058|buro|sysburotienda|1
10.50.71.69|51072|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|10298|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|34718|buro|sysburotienda|2
10.50.71.69|34730|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|61983|buro|sysburotienda|1
10.50.71.69|7520|buro|sysburotienda|1
10.50.71.69|1608|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|44071|buro|sysburotienda|1
10.50.71.69|19632|buro|sysburotienda|1
10.50.71.69|19654|buro|sysburotienda|1
10.50.71.69|19666|buro|sysburotienda|1
10.50.71.69|19670|buro|sysburotienda|1
